name,m_fuse,p_fuse,m_model,p_model,auprc
Davis_ProtBert-BFD_pebchem10m,True,True,True,True,0.8130632042884827
Davis_ProtBert-BFD_roberta,True,True,True,True,0.8194348812103271
Davis_ProtBert-BFD_pebchem10m,True,True,False,False,0.8045211434364319
Davis_ProtBert-BFD_roberta,True,True,False,False,0.8047933578491211
Davis_ProtBert-BFD_pebchem10m,False,False,True,True,0.8302857875823975
Davis_ProtBert-BFD_roberta,False,False,True,True,0.817982017993927
Davis_ProtBert-BFD_roberta,True,True,False,True,0.8280625343322754
Davis_ProtBert-BFD_pebchem10m,True,True,False,True,0.837607741355896
Davis_ProtBert-BFD_roberta,True,True,True,False,0.8021055459976196
Davis_ProtBert-BFD_pebchem10m,True,True,True,False,0.7968403100967407
Davis_ProtBert-BFD_roberta,False,True,True,True,0.8127410411834717
Davis_ProtBert-BFD_pebchem10m,False,True,True,True,0.8284717202186584
Davis_ProtBert-BFD_roberta,True,False,True,True,0.833696722984314
Davis_ProtBert-BFD_pebchem10m,True,False,True,True,0.8296065330505371
Davis_ProtBert-BFD_chemberta,True,True,True,True,0.8209933042526245
Davis_ProtBert-BFD_roberta,True,True,True,True,0.8046160340309143
Davis_ProtBert-BFD_pebchem10m,True,True,True,True,0.8067915439605713
Davis_ProtBert-BFD_roberta,True,True,False,False,0.7780208587646484
Davis_ProtBert-BFD_chemberta,True,True,False,False,0.8037169575691223
Davis_ProtBert-BFD_pebchem10m,True,True,False,False,0.7845538258552551
Davis_ProtBert-BFD_roberta,False,False,True,True,0.8029398322105408
Davis_ProtBert-BFD_pebchem10m,False,False,True,True,0.8098633885383606
Davis_ProtBert-BFD_chemberta,False,False,True,True,0.8253698348999023
Davis_ProtBert-BFD_roberta,True,True,False,True,0.8208160996437073
Davis_ProtBert-BFD_pebchem10m,True,True,False,True,0.8149109482765198
Davis_ProtBert-BFD_chemberta,True,True,False,True,0.8277418613433838
Davis_ProtBert-BFD_roberta,True,True,True,False,0.7846779823303223
Davis_ProtBert-BFD_pebchem10m,True,True,True,False,0.7908132672309875
Davis_ProtBert-BFD_chemberta,True,True,True,False,0.800282895565033
Davis_ProtBert-BFD_roberta,False,True,True,True,0.8198615908622742
Davis_ProtBert-BFD_pebchem10m,False,True,True,True,0.8144123554229736
Davis_ProtBert-BFD_chemberta,False,True,True,True,0.8167202472686768
Davis_ProtBertT5-xl_roberta,True,True,True,True,0.8317736983299255
Davis_ProtBert-BFD_roberta,True,False,True,True,0.8100192546844482
Davis_ProtBert-BFD_chemberta,True,False,True,True,0.8043534755706787
Davis_ProtBert-BFD_pebchem10m,True,False,True,True,0.8087009191513062
Davis_ProtBertT5-xl_roberta,True,True,False,False,0.8082432746887207
Davis_ProtBert-BFD_pebchem10m,True,True,True,True,0.8214759230613708
Davis_ProtBert-BFD_roberta,True,True,True,True,0.8257947564125061
Davis_ProtBert-BFD_chemberta,True,True,True,True,0.817986786365509
Davis_ProtBertT5-xl_roberta,False,False,True,True,0.8272261023521423
Davis_ProtBert-BFD_roberta,True,True,False,False,0.7909819483757019
Davis_ProtBert-BFD_pebchem10m,True,True,False,False,0.7890707850456238
Davis_ProtBertT5-xl_roberta,True,True,False,True,0.840057373046875
Davis_ProtBert-BFD_chemberta,True,True,False,False,0.7984764575958252
Davis_ProtBertT5-xl_pebchem10m,True,True,True,True,0.8386517763137817
Davis_ProtBert-BFD_roberta,False,False,True,True,0.8095505237579346
Davis_ProtBert-BFD_pebchem10m,False,False,True,True,0.8037305474281311
Davis_ProtBertT5-xl_roberta,True,True,True,False,0.8151915073394775
Davis_ProtBert-BFD_chemberta,False,False,True,True,0.8049616813659668
Davis_ProtBertT5-xl_pebchem10m,True,True,False,False,0.8314315676689148
Davis_ProtBert-BFD_roberta,True,True,False,True,0.8279183506965637
Davis_ProtBertT5-xl_roberta,False,True,True,True,0.823124349117279
Davis_ProtBert-BFD_pebchem10m,True,True,False,True,0.8251492381095886
Davis_ProtBert-BFD_chemberta,True,True,False,True,0.8187655806541443
Davis_ProtBertT5-xl_pebchem10m,False,False,True,True,0.829193115234375
Davis_ProtBertT5-xl_roberta,True,False,True,True,0.8253053426742554
Davis_ProtBert-BFD_roberta,True,True,True,False,0.784917950630188
Davis_ProtBert-BFD_chemberta,True,True,True,False,0.7862855792045593
Davis_ProtBert-BFD_pebchem10m,True,True,True,False,0.7941516041755676
Davis_ProtBertT5-xl_roberta,True,True,True,True,0.8110583424568176
Davis_ProtBertT5-xl_pebchem10m,True,True,False,True,0.8368833065032959
Davis_ProtBert-BFD_roberta,False,True,True,True,0.8283316493034363
Davis_ProtBert-BFD_chemberta,False,True,True,True,0.7981785535812378
Davis_ProtBertT5-xl_pebchem10m,True,True,True,False,0.8151639103889465
Davis_ProtBertT5-xl_roberta,True,True,False,False,0.8026225566864014
Davis_ProtBert-BFD_pebchem10m,False,True,True,True,0.8291988968849182
Davis_ProtBert-BFD_chemberta,True,False,True,True,0.8014598488807678
Davis_ProtBertT5-xl_pebchem10m,False,True,True,True,0.8350525498390198
Davis_ProtBertT5-xl_roberta,False,False,True,True,0.8117396235466003
Davis_ProtBert-BFD_roberta,True,False,True,True,0.8277466297149658
Davis_ProtBert-BFD_pebchem10m,True,False,True,True,0.8195664286613464
Davis_ProtBert-BFD_roberta,True,True,True,True,0.7936802506446838
Davis_ProtBertT5-xl_roberta,True,True,False,True,0.8142068982124329
Davis_ProtBertT5-xl_pebchem10m,True,False,True,True,0.8318142890930176
Davis_ProtBert-BFD_chemberta,True,True,True,True,0.8255103230476379
