name,use_fuse,use_model,f1max
go-BP_ESM-1B_roberta,True,True,0.3476104736328125
go-BP_ESM-1B_roberta,True,False,0.42495930194854736
go-BP_ESM-1B_roberta,False,True,0.32521748542785645
go-BP_ESM-1B_roberta,True,True,0.35630375146865845
go-BP_ESM-1B_roberta,True,False,0.41850996017456055
go-BP_ESM-1B_roberta,False,True,0.31892430782318115
go-BP_ESM-1B_roberta,True,True,0.3608807623386383
go-BP_ESM-1B_roberta,True,False,0.4254209101200104
go-BP_ProtBertT5-xl_roberta,True,True,0.44185343384742737
go-BP_ESM-1B_roberta,False,True,0.34020087122917175
go-BP_ESM-1B_roberta,True,True,0.329335480928421
go-BP_ESM2_roberta,True,True,0.3288041055202484
go-BP_ProtBertT5-xl_roberta,True,False,0.40608012676239014
go-BP_ESM-1B_roberta,True,False,0.4263983964920044
go-BP_ESM2_roberta,True,False,0.2925066351890564
go-BP_ProtBertT5-xl_roberta,False,True,0.4376768469810486
go-BP_ESM-1B_roberta,False,True,0.338535875082016
go-BP_ESM-1B_roberta,True,True,0.3534918427467346
go-BP_ESM2_roberta,False,True,0.32228684425354004
go-BP_ProtBertT5-xl_roberta,True,True,0.4412926137447357
go-BP_ESM-1B_roberta,True,False,0.4181496500968933
go-BP_ESM2_roberta,True,True,0.3221498727798462
go-BP_ProtBertT5-xl_roberta,True,False,0.39845266938209534
go-BP_ESM-1B_roberta,False,True,0.3278793692588806
go-BP_ProtBert-BFD_roberta,True,True,0.38311123847961426
go-BP_ESM-1B_roberta,True,True,0.35142838954925537
go-BP_ESM2_roberta,True,False,0.29903215169906616
go-BP_ProtBertT5-xl_roberta,False,True,0.4406886398792267
go-BP_ProtBert-BFD_roberta,True,False,0.3186202347278595
go-BP_ESM-1B_roberta,True,False,0.423778772354126
go-BP_ESM2_roberta,False,True,0.32691842317581177
go-BP_ESM-1B_roberta,False,True,0.3113401234149933
go-BP_ProtBertT5-xl_roberta,True,True,0.43668246269226074
go-BP_ESM-1B_roberta,True,True,0.34254857897758484
go-BP_ProtBert-BFD_roberta,False,True,0.3826785087585449
go-BP_ESM2_roberta,True,True,0.32163700461387634
go-BP_ProtBertT5-xl_roberta,True,False,0.4074688255786896
go-BP_ESM-1B_roberta,True,False,0.4205333888530731
go-BP_ESM-1B_roberta,False,True,0.3294103443622589
go-BP_ProtBert-BFD_roberta,True,True,0.3845817446708679
go-BP_ProtBertT5-xl_roberta,False,True,0.4430800974369049
go-BP_ESM-1B_roberta,True,True,0.3479020595550537
go-BP_ESM2_roberta,True,False,0.30593785643577576
go-BP_ProtBert-BFD_roberta,True,False,0.3158889710903168
go-BP_ProtBertT5-xl_roberta,True,True,0.4343666136264801
go-BP_ESM2_roberta,False,True,0.31878355145454407
go-BP_ESM-1B_roberta,True,False,0.430076539516449
go-BP_ProtBert-BFD_roberta,False,True,0.37987276911735535
go-BP_ESM-1B_roberta,False,True,0.3125056028366089
go-BP_ProtBertT5-xl_roberta,True,False,0.4021560847759247
