name,m_fuse,p_fuse,m_model,p_model,epoch,part,auc,accuracy,precision,recall,aupr
ProtBertT5-xl_roberta,True,True,True,True,81,test,0.9204099429364851,0.8379082962735777,0.8157055925818604,0.8699011124845488,0.9222616880183798
ProtBertT5-xl_pebchem10m,True,True,True,True,124,test,0.9265649193904947,0.8538567704339826,0.8528593508500772,0.8525957972805933,0.9277806121056847
ProtBertT5-xl_chemberta,True,True,True,True,128,test,0.9147457823232922,0.8395951541174667,0.8184991273996509,0.869592088998764,0.9143223992417392
ProtBert-BFD_pebchem10m,True,True,True,True,123,test,0.9166677955195828,0.840055206256709,0.8197725284339458,0.8686650185414091,0.9196327491669797
ProtBert-BFD_chemberta,True,True,True,True,102,test,0.9112387185261697,0.8290139549148904,0.8174199341514516,0.8439431396786156,0.9109333997032195
ProtBertT5-xl_roberta,True,True,False,False,197,test,0.9230269062092555,0.8455758319276184,0.8337825696316262,0.8603213844252163,0.9237973235048937
ESM-1B_roberta,True,True,True,True,117,test,0.9157513080583165,0.8346879312988805,0.8136627906976744,0.8649567367119901,0.9164219444505953
ProtBertT5-xl_pebchem10m,True,True,False,False,211,test,0.9222237273594436,0.8437356233706487,0.8290293855743545,0.8631025957972805,0.9237766670162187
ProtBertT5-xl_chemberta,True,True,False,False,168,test,0.9125348298160159,0.8273270970710014,0.8138013087447947,0.8454882571075402,0.9148065670452634
ESM2_roberta,True,True,True,True,143,test,0.904988683249516,0.8191995092777181,0.8029455081001473,0.842398022249691,0.9088049877712846
ProtBertT5-xl_roberta,False,False,True,True,93,test,0.909394408038938,0.8254868885140316,0.8098050797401063,0.8473423980222496,0.9102303883436356
ESM3_chemberta,True,True,True,True,113,test,0.898803604051077,0.823493329243981,0.8163884673748103,0.8312731767614339,0.896068178487471
ProtBert-BFD_roberta,True,True,True,True,77,test,0.9163795147061314,0.8395951541174667,0.8363022113022113,0.8414709517923362,0.918376374868504
ProtBert-BFD_pebchem10m,True,True,False,False,244,test,0.9145329465130673,0.8313142156111026,0.8124634289057928,0.8581582200247219,0.9158160298176762
ProtBertT5-xl_pebchem10m,False,False,True,True,140,test,0.912261506303703,0.8405152583959515,0.8403595784252945,0.8377626699629172,0.9131093659624836
ProtBertT5-xl_chemberta,False,False,True,True,126,test,0.9056473689260658,0.8257935899401933,0.8108348134991119,0.8464153275648949,0.903468401788713
ESM-1B_roberta,True,True,False,False,182,test,0.9280846376288068,0.8512498083116087,0.8255747126436782,0.8878244746600742,0.9276292523598785
ProtBertT5-xl_roberta,True,True,False,True,97,test,0.9182659220000262,0.8411286612482748,0.8210741389375364,0.869283065512979,0.9211260049508494
ProtBert-BFD_chemberta,True,True,False,False,233,test,0.9040089329894094,0.8185861064253949,0.7998831434414256,0.84610630407911,0.9054301512557872
ProtBert-BFD_pebchem10m,False,False,True,True,153,test,0.9132492526052983,0.840975310535194,0.8415657036346692,0.8371446229913473,0.9146131072818667
ProtBertT5-xl_chemberta,True,True,False,True,100,test,0.9111592755021984,0.8294740070541328,0.8083623693379791,0.8603213844252163,0.9111618408867816
ProtBertT5-xl_pebchem10m,True,True,False,True,134,test,0.9179626368498983,0.8391351019782242,0.8161318300086731,0.8723733003708282,0.9184738300420565
ESM2_chemberta,True,True,True,True,175,test,0.905249071988832,0.8208863671216071,0.8018096906012843,0.8488875154511742,0.9074149362329501
ESM2_roberta,True,True,False,False,233,test,0.9118719579765687,0.8340745284465573,0.8259685230024213,0.8433250927070457,0.9158804723593876
ESM3_chemberta,True,True,False,False,245,test,0.9125600879000137,0.8316209170372643,0.8198683423099941,0.8467243510506799,0.9133284218019647
ESM-1B_roberta,False,False,True,True,151,test,0.8911295678562896,0.7978837601594847,0.7674288901282766,0.8504326328800988,0.8946769691293176
ProtBert-BFD_roberta,True,True,False,False,242,test,0.9116073830743557,0.8291673056279711,0.8188100961538461,0.8420889987639061,0.9132103575756412
ProtBert-BFD_chemberta,False,False,True,True,135,test,0.9068275846498579,0.8247201349486275,0.8053691275167785,0.8529048207663782,0.905981570866415
ProtBertT5-xl_roberta,True,True,True,False,161,test,0.9133481213065344,0.8299340591933753,0.8125183661475169,0.8544499381953028,0.9164313870459175
ESM-1B_pebchem10m,True,True,True,True,174,test,0.916926632086139,0.833461125594234,0.8073184676958262,0.8726823238566132,0.9191795814137117
ProtBertT5-xl_pebchem10m,True,True,True,False,133,test,0.9166869389836185,0.8365281398558503,0.8221496437054632,0.8556860321384425,0.9175314246602939
ESM2_roberta,False,False,True,True,123,test,0.896261239141846,0.815979144303021,0.823791348600509,0.8003708281829419,0.8991770034699382
ProtBert-BFD_pebchem10m,True,True,False,True,158,test,0.9176612331212971,0.8414353626744364,0.8230633802816901,0.8668108776266996,0.9180831679970248
ProtBert-BFD_roberta,False,False,True,True,125,test,0.9099312246360861,0.8282472013494863,0.8056036972848065,0.8618665018541409,0.911475419970136
ESM3_pebchem10m,True,True,True,True,135,test,0.9137816478618586,0.8339211777334765,0.8182086905113805,0.8553770086526576,0.9135478478094069
ProtBertT5-xl_roberta,False,True,True,True,121,test,0.9209848112840138,0.8443490262229719,0.829037037037037,0.8646477132262052,0.9216385825313538
