name,m_fuse,p_fuse,m_model,p_model,epoch,part,auc,accuracy,precision,recall,aupr
ProtBertT5-xl_pebchem10m,True,True,True,True,120,test,0.9285369173157767,0.8527288354103997,0.5790194884287454,0.8517357222844345,0.7950237625878505
ProtBertT5-xl_chemberta,True,True,True,True,177,test,0.9240223213847072,0.8291792006875806,0.5337465564738292,0.8678611422172452,0.7848135486072721
ProtBert-BFD_chemberta,True,True,True,True,181,test,0.924985647178132,0.8424151267726687,0.558282208588957,0.8559910414333707,0.7856373034805103
ProtBertT5-xl_roberta,True,True,True,True,112,test,0.9263675733711907,0.845122475290073,0.5635987590486039,0.8544232922732363,0.788615212856534
ESM3_pebchem10m,True,True,True,True,82,test,0.9179656300458557,0.8171035668242372,0.5137990228443153,0.8714445688689809,0.7634708108195993
ProtBert-BFD_roberta,True,True,True,True,203,test,0.929670196241082,0.8509669101847873,0.5753590325018897,0.852407614781635,0.8006458401004802
ESM-1B_pebchem10m,True,True,True,True,90,test,0.9240687994573886,0.8305973356252686,0.5361737446396458,0.8680851063829788,0.7765921109784037
ProtBert-BFD_pebchem10m,True,True,True,True,109,test,0.925128469739976,0.8348517404383327,0.5439017504234895,0.8629339305711087,0.7840382436156479
ESM3_roberta,True,True,True,True,147,test,0.9251845113981443,0.8472711645896004,0.5683831256568083,0.8479283314669653,0.7778801161665154
ESM2_pebchem10m,True,True,True,True,106,test,0.9210334389039632,0.8179200687580576,0.5150039484074757,0.8763717805151175,0.7709051791513442
ESM3_chemberta,True,True,True,True,195,test,0.9212789002948574,0.838504512247529,0.5510174628373503,0.8550951847704368,0.7708239079785677
ProtBertT5-xl_pebchem10m,True,True,False,False,241,test,0.9289098376006714,0.8392350666093683,0.5512602662135372,0.8718924972004479,0.7914735039992253
ESM-1B_chemberta,True,True,True,True,219,test,0.9277924761498411,0.847872797593468,0.569102046914687,0.8530795072788354,0.796257170435901
ESM-1B_roberta,True,True,True,True,218,test,0.932796208389694,0.8552642887838419,0.5830934706862596,0.8620380739081747,0.8097789959734835
ESM2_chemberta,True,True,True,True,135,test,0.9162193884128766,0.823463687150838,0.5244085874470121,0.858902575587906,0.7593438491465849
ProtBertT5-xl_roberta,True,True,False,False,208,test,0.9299532271592726,0.8449076063601203,0.5618675917895345,0.870548712206047,0.792850501207815
ProtBertT5-xl_chemberta,True,True,False,False,249,test,0.9211877008479494,0.8372152986678126,0.5486560298979445,0.8548712206047032,0.7746876760944897
ProtBert-BFD_chemberta,True,True,False,False,248,test,0.9221663307601177,0.83149978513107,0.5382452193475815,0.8573348264277716,0.7753496332163854
ESM3_pebchem10m,True,True,False,False,245,test,0.9278516203161282,0.8365706918779544,0.5463325867861142,0.8741321388577827,0.7888052897537691
ESM2_roberta,True,True,True,True,214,test,0.9286485004196722,0.8362698753760206,0.5457083042568039,0.8756998880179171,0.7966947756483815
ProtBert-BFD_roberta,True,True,False,False,215,test,0.9260780992403619,0.8298667812634293,0.534421768707483,0.8797312430011198,0.7841660562830122
ESM-1B_pebchem10m,True,True,False,False,246,test,0.9315111030785992,0.8449076063601203,0.562227391683629,0.8660694288913774,0.7985977381589179
ProtBert-BFD_pebchem10m,True,True,False,False,249,test,0.9269921362435772,0.836613665663945,0.5463960811756473,0.8743561030235162,0.785819012364527
ProtBertT5-xl_roberta,False,False,True,True,96,test,0.924562461497785,0.8305113880532875,0.5359260791614949,0.8703247480403136,0.7778278287241143
ESM3_roberta,True,True,False,False,246,test,0.9257742320920226,0.8314138375590889,0.5372355042594119,0.8756998880179171,0.7825875832042894
ESM2_pebchem10m,True,True,False,False,248,test,0.9276610989250493,0.8342930812204555,0.5423092955398082,0.8741321388577827,0.7848823985118407
ESM3_chemberta,True,True,False,False,238,test,0.9259098194381961,0.8357971637301246,0.5456349206349206,0.8622620380739082,0.7847322498208742
ProtBert-BFD_roberta,False,False,True,True,95,test,0.9231009598421711,0.8459389772238934,0.5664853430039287,0.8396416573348264,0.7758775696878747
ProtBertT5-xl_pebchem10m,False,False,True,True,242,test,0.9319566256264192,0.8519982810485603,0.575910780669145,0.8674132138857783,0.8061598937912077
ESM-1B_chemberta,True,True,False,False,249,test,0.9287836649672345,0.8415126772668672,0.5557949159844895,0.8667413213885778,0.7949237196494267
ESM-1B_roberta,True,True,False,False,223,test,0.931736264181246,0.8424151267726687,0.5566278739710474,0.8783874580067189,0.8033634954622758
ProtBert-BFD_chemberta,False,False,True,True,179,test,0.921369659078424,0.8530296519123335,0.5843422114608555,0.8107502799552072,0.7724768065945352
ProtBertT5-xl_chemberta,False,False,True,True,212,test,0.9243207278805612,0.8374301675977653,0.5492347675425931,0.851959686450168,0.77959278304292
ESM2_chemberta,True,True,False,False,249,test,0.9138788288954863,0.8172324881822088,0.5142857142857142,0.8546472564389698,0.7579010136293518
ESM3_pebchem10m,False,False,True,True,203,test,0.9272500433964069,0.8408680704770091,0.5545376467220154,0.8676371780515117,0.7862083795908139
ESM3_chemberta,False,False,True,True,103,test,0.9056512036510744,0.8252685861624409,0.528544856202604,0.8273236282194849,0.730297641583818
ProtBert-BFD_pebchem10m,False,False,True,True,159,test,0.9243446249344587,0.8372152986678126,0.5481302431394853,0.8633818589025756,0.7831755038611411
ESM2_roberta,True,True,False,False,248,test,0.9235961106100716,0.8302105715513537,0.5354678443279051,0.8689809630459127,0.7787576550590878
ESM-1B_pebchem10m,False,False,True,True,178,test,0.9191399323462673,0.8543618392780404,0.5877937336814621,0.8067189249720045,0.7676178031374856
ESM2_pebchem10m,False,False,True,True,149,test,0.9193821542661124,0.8286205414697034,0.5330928264187595,0.8604703247480403,0.7725225886548858
ProtBertT5-xl_pebchem10m,True,True,False,True,133,test,0.924804302303389,0.8386334336055007,0.5511380005762028,0.8568868980963046,0.7797076750035261
ESM3_roberta,False,False,True,True,184,test,0.923324048636132,0.8353244520842287,0.5448745214802212,0.8606942889137738,0.7820029172966205
ESM-1B_roberta,False,False,True,True,122,test,0.9163837201097015,0.8240653201547057,0.5253519201858685,0.8609182530795073,0.7586139813987792
ProtBertT5-xl_roberta,True,True,False,True,241,test,0.9334869005378178,0.8620541469703481,0.5986170045575986,0.8530795072788354,0.8050285104486213
ProtBert-BFD_roberta,True,True,False,True,190,test,0.9272769179053129,0.845036527718092,0.5632641036971572,0.8564389697648376,0.7884974531734599
ESM2_chemberta,False,False,True,True,135,test,0.9127382492505002,0.8415986248388483,0.5602288541827741,0.8114221724524077,0.7496306655261106
ESM-1B_chemberta,False,False,True,True,247,test,0.9196760231205336,0.8498495917490331,0.5756112755022582,0.8277715565509518,0.7700406603669645
ProtBert-BFD_chemberta,True,True,False,True,231,test,0.92529611236677,0.8367425870219166,0.5471404303510758,0.8656215005599104,0.7841455317429759
ProtBertT5-xl_chemberta,True,True,False,True,203,test,0.9217768200959158,0.8440051568543189,0.5625093576882767,0.8414333706606942,0.7767011901860867
ESM2_roberta,False,False,True,True,175,test,0.9230528620339652,0.8287064890416845,0.5331121249827181,0.863605823068309,0.7789536435507132
ESM3_chemberta,True,True,False,True,183,test,0.9221872027197264,0.836613665663945,0.5471215351812366,0.8620380739081747,0.7631856104619706
ESM3_pebchem10m,True,True,False,True,231,test,0.9294639419777387,0.8479157713794585,0.5683495718925302,0.8622620380739082,0.7953355386740136
ProtBertT5-xl_pebchem10m,True,True,True,False,179,test,0.9267387548223607,0.8385474860335196,0.5499435665914221,0.8730123180291154,0.7881991818423495
ProtBert-BFD_roberta,True,True,True,False,141,test,0.9224813038156385,0.8360550064460679,0.5461385576377058,0.8615901455767078,0.778370500678905
ProtBert-BFD_pebchem10m,True,True,False,True,249,test,0.9287813246875978,0.8415986248388483,0.5554606293606721,0.8736842105263158,0.7920757630964391
ESM-1B_pebchem10m,True,True,False,True,249,test,0.9306987163893712,0.8393210141813494,0.5515332197614992,0.8701007838745801,0.7975386126250577
ESM2_pebchem10m,True,True,False,True,240,test,0.9279460354144454,0.8218306832831972,0.5209400026257056,0.8886898096304591,0.7891671768458487
ESM3_roberta,True,True,False,True,214,test,0.9267178947725716,0.8365277180919639,0.5463209530483532,0.8730123180291154,0.7834585465147397
ProtBertT5-xl_roberta,True,True,True,False,182,test,0.9286655552819606,0.854018048990116,0.5815267175572519,0.8530795072788354,0.7952165065479015
ESM-1B_roberta,True,True,False,True,248,test,0.9330577003983537,0.8435324452084229,0.5585393577720943,0.8804031354983203,0.8053034139092938
ProtBertT5-xl_chemberta,True,True,True,False,147,test,0.9183193457459462,0.8435324452084229,0.5626520681265207,0.8286674132138858,0.7658277975224747
ESM2_chemberta,True,True,False,True,242,test,0.9146175116634356,0.818263859045982,0.5159545700378583,0.8546472564389698,0.7566166402285199
ProtBertT5-xl_pebchem10m,False,True,True,True,127,test,0.9279127831969113,0.8464116888697895,0.566166641912966,0.8537513997760359,0.7863893980747605
ESM-1B_chemberta,True,True,False,True,248,test,0.9297199197397229,0.8463257412978084,0.5651663978888726,0.8633818589025756,0.7974887764172438
ProtBert-BFD_chemberta,True,True,True,False,235,test,0.9208952790366624,0.8287924366136656,0.5332044732845506,0.8649496080627099,0.7752078342472948
ESM2_roberta,True,True,False,True,244,test,0.9251243013029641,0.8288354103996562,0.5331317019521584,0.8685330347144457,0.7850211160101911
ESM3_chemberta,True,True,True,False,232,test,0.9252881268324374,0.8298238074774388,0.5346697789372511,0.8721164613661814,0.7818425724578161
ProtBert-BFD_roberta,False,True,True,True,196,test,0.9307119660641587,0.852041254834551,0.5765657776445909,0.8618141097424412,0.7987149900950018
ESM-1B_pebchem10m,True,True,True,False,168,test,0.9300454091663334,0.8514396218306833,0.5757894736842105,0.857558790593505,0.8008118034414995
ESM3_pebchem10m,True,True,True,False,229,test,0.9268786892528464,0.8503652771809196,0.5741439131090662,0.852407614781635,0.7867397053628287
