name,m_fuse,p_fuse,m_model,p_model,epoch,part,auc,accuracy,precision,recall,aupr
ProtBertT5-xl_roberta,True,True,True,True,74,test,0.991903449324021,0.9608355091383812,0.9714964370546318,0.9578454332552693,0.994453856391335
ESM3_roberta,True,True,True,True,73,test,0.9906115935421028,0.9608355091383812,0.9760191846522782,0.9531615925058547,0.993780576911054
ProtBertT5-xl_chemberta,True,True,True,True,79,test,0.9925804646535824,0.9647519582245431,0.9784688995215312,0.9578454332552693,0.994911237672305
ESM-1B_chemberta,True,True,True,True,81,test,0.9901832777213598,0.9660574412532638,0.9762470308788599,0.9625292740046838,0.9937740732301824
ProtBertT5-xl_pebchem10m,True,True,True,True,90,test,0.988898330259131,0.9673629242819843,0.9652777777777778,0.9765807962529274,0.9916924979391962
ESM-1B_roberta,True,True,True,True,92,test,0.992677181129234,0.9647519582245431,0.9629629629629629,0.9742388758782201,0.9951566600407487
ESM-1B_pebchem10m,True,True,True,True,98,test,0.9901556444426023,0.9621409921671018,0.9783653846153846,0.9531615925058547,0.9937224518821358
ESM3_chemberta,True,True,True,True,104,test,0.9854718036931877,0.9503916449086162,0.951276102088167,0.9601873536299765,0.9906920815292735
ProtBert-BFD_pebchem10m,True,True,True,True,110,test,0.9927669892851961,0.9712793733681462,0.9742388758782201,0.9742388758782201,0.9947076908688012
ESM3_pebchem10m,True,True,True,True,109,test,0.98475333844549,0.9490861618798956,0.9754901960784313,0.9320843091334895,0.9902539275401258
ProtBert-BFD_roberta,True,True,True,True,111,test,0.9955579504397145,0.9660574412532638,0.9630484988452656,0.9765807962529274,0.9965708699767968
ESM2_chemberta,True,True,True,True,117,test,0.9951849011764868,0.9621409921671018,0.9502262443438914,0.9836065573770492,0.996482933929179
ProtBert-BFD_chemberta,True,True,True,True,116,test,0.9932643883028331,0.9725848563968669,0.9856459330143541,0.9648711943793911,0.9958062456075638
ESM2_pebchem10m,True,True,True,True,156,test,0.9920899739556348,0.9725848563968669,0.9742990654205608,0.9765807962529274,0.9946305985920838
ESM2_roberta,True,True,True,True,164,test,0.997146863968277,0.9751958224543081,0.9700460829493087,0.9859484777517564,0.9980331445591348
