Epoch 0 train AUC 0.668 (cont: 0.347, recon: 0.101)
Epoch 0 valid AUC 0.686 (cont: 0.412, recon: 0.226)
Epoch 0 test AUC 0.631 (cont: 0.396, recon: 0.260)
Epoch 1 train AUC 0.754 (cont: 0.339, recon: 0.101)
Epoch 1 valid AUC 0.722 (cont: 0.411, recon: 0.226)
Epoch 1 test AUC 0.664 (cont: 0.399, recon: 0.260)
Epoch 2 train AUC 0.779 (cont: 0.335, recon: 0.101)
Epoch 2 valid AUC 0.737 (cont: 0.410, recon: 0.226)
Epoch 2 test AUC 0.681 (cont: 0.400, recon: 0.260)
Epoch 3 train AUC 0.791 (cont: 0.331, recon: 0.101)
Epoch 3 valid AUC 0.745 (cont: 0.409, recon: 0.226)
Epoch 3 test AUC 0.690 (cont: 0.399, recon: 0.260)
Epoch 4 train AUC 0.798 (cont: 0.328, recon: 0.101)
Epoch 4 valid AUC 0.751 (cont: 0.408, recon: 0.226)
Epoch 4 test AUC 0.695 (cont: 0.400, recon: 0.260)
Epoch 5 train AUC 0.804 (cont: 0.325, recon: 0.101)
Epoch 5 valid AUC 0.755 (cont: 0.407, recon: 0.226)
Epoch 5 test AUC 0.699 (cont: 0.399, recon: 0.260)
Epoch 6 train AUC 0.809 (cont: 0.323, recon: 0.101)
Epoch 6 valid AUC 0.759 (cont: 0.406, recon: 0.226)
Epoch 6 test AUC 0.703 (cont: 0.400, recon: 0.260)
Epoch 7 train AUC 0.812 (cont: 0.321, recon: 0.101)
Epoch 7 valid AUC 0.763 (cont: 0.406, recon: 0.226)
Epoch 7 test AUC 0.706 (cont: 0.399, recon: 0.260)
Epoch 8 train AUC 0.816 (cont: 0.319, recon: 0.101)
Epoch 8 valid AUC 0.766 (cont: 0.405, recon: 0.226)
Epoch 8 test AUC 0.709 (cont: 0.399, recon: 0.260)
Epoch 9 train AUC 0.818 (cont: 0.317, recon: 0.101)
Epoch 9 valid AUC 0.769 (cont: 0.404, recon: 0.226)
Epoch 9 test AUC 0.712 (cont: 0.398, recon: 0.260)
Epoch 10 train AUC 0.821 (cont: 0.316, recon: 0.101)
Epoch 10 valid AUC 0.771 (cont: 0.403, recon: 0.226)
Epoch 10 test AUC 0.714 (cont: 0.398, recon: 0.260)
Epoch 11 train AUC 0.822 (cont: 0.315, recon: 0.101)
Epoch 11 valid AUC 0.773 (cont: 0.403, recon: 0.226)
Epoch 11 test AUC 0.716 (cont: 0.398, recon: 0.260)
Epoch 12 train AUC 0.824 (cont: 0.314, recon: 0.101)
Epoch 12 valid AUC 0.775 (cont: 0.402, recon: 0.226)
Epoch 12 test AUC 0.717 (cont: 0.398, recon: 0.260)
Epoch 13 train AUC 0.826 (cont: 0.313, recon: 0.101)
Epoch 13 valid AUC 0.776 (cont: 0.402, recon: 0.226)
Epoch 13 test AUC 0.718 (cont: 0.398, recon: 0.260)
Epoch 14 train AUC 0.827 (cont: 0.312, recon: 0.101)
Epoch 14 valid AUC 0.778 (cont: 0.402, recon: 0.226)
Epoch 14 test AUC 0.719 (cont: 0.398, recon: 0.260)
Epoch 15 train AUC 0.829 (cont: 0.311, recon: 0.101)
Epoch 15 valid AUC 0.779 (cont: 0.402, recon: 0.226)
