Epoch 0 train AUC 0.696 (cont: 0.260, recon: 0.042)
Epoch 0 valid AUC 0.708 (cont: 0.237, recon: 0.068)
Epoch 0 test AUC 0.662 (cont: 0.205, recon: 0.075)
Epoch 1 train AUC 0.779 (cont: 0.251, recon: 0.042)
Epoch 1 valid AUC 0.741 (cont: 0.233, recon: 0.068)
Epoch 1 test AUC 0.693 (cont: 0.202, recon: 0.075)
Epoch 2 train AUC 0.804 (cont: 0.245, recon: 0.042)
Epoch 2 valid AUC 0.757 (cont: 0.231, recon: 0.068)
Epoch 2 test AUC 0.708 (cont: 0.201, recon: 0.075)
Epoch 3 train AUC 0.816 (cont: 0.242, recon: 0.042)
Epoch 3 valid AUC 0.765 (cont: 0.229, recon: 0.068)
Epoch 3 test AUC 0.717 (cont: 0.200, recon: 0.075)
Epoch 4 train AUC 0.824 (cont: 0.239, recon: 0.042)
Epoch 4 valid AUC 0.770 (cont: 0.227, recon: 0.068)
Epoch 4 test AUC 0.723 (cont: 0.199, recon: 0.075)
Epoch 5 train AUC 0.829 (cont: 0.237, recon: 0.042)
Epoch 5 valid AUC 0.774 (cont: 0.226, recon: 0.068)
Epoch 5 test AUC 0.727 (cont: 0.199, recon: 0.075)
Epoch 6 train AUC 0.833 (cont: 0.235, recon: 0.042)
Epoch 6 valid AUC 0.777 (cont: 0.225, recon: 0.068)
Epoch 6 test AUC 0.730 (cont: 0.198, recon: 0.075)
Epoch 7 train AUC 0.836 (cont: 0.234, recon: 0.042)
Epoch 7 valid AUC 0.779 (cont: 0.224, recon: 0.068)
Epoch 7 test AUC 0.733 (cont: 0.198, recon: 0.075)
Epoch 8 train AUC 0.838 (cont: 0.233, recon: 0.042)
Epoch 8 valid AUC 0.781 (cont: 0.224, recon: 0.068)
Epoch 8 test AUC 0.735 (cont: 0.197, recon: 0.075)
Epoch 9 train AUC 0.840 (cont: 0.232, recon: 0.042)
Epoch 9 valid AUC 0.783 (cont: 0.223, recon: 0.068)
Epoch 9 test AUC 0.737 (cont: 0.197, recon: 0.075)
Epoch 10 train AUC 0.842 (cont: 0.231, recon: 0.042)
Epoch 10 valid AUC 0.785 (cont: 0.223, recon: 0.068)
Epoch 10 test AUC 0.738 (cont: 0.197, recon: 0.075)
Epoch 11 train AUC 0.844 (cont: 0.230, recon: 0.042)
Epoch 11 valid AUC 0.786 (cont: 0.222, recon: 0.068)
Epoch 11 test AUC 0.740 (cont: 0.196, recon: 0.075)
Epoch 12 train AUC 0.845 (cont: 0.230, recon: 0.042)
Epoch 12 valid AUC 0.787 (cont: 0.222, recon: 0.068)
Epoch 12 test AUC 0.741 (cont: 0.196, recon: 0.075)
Epoch 13 train AUC 0.846 (cont: 0.229, recon: 0.042)
Epoch 13 valid AUC 0.788 (cont: 0.222, recon: 0.068)
Epoch 13 test AUC 0.742 (cont: 0.196, recon: 0.075)
Epoch 14 train AUC 0.848 (cont: 0.228, recon: 0.042)
Epoch 14 valid AUC 0.789 (cont: 0.222, recon: 0.068)
Epoch 14 test AUC 0.743 (cont: 0.196, recon: 0.075)
Epoch 15 train AUC 0.849 (cont: 0.228, recon: 0.042)
Epoch 15 valid AUC 0.790 (cont: 0.221, recon: 0.068)
Epoch 15 test AUC 0.744 (cont: 0.196, recon: 0.075)
Epoch 16 train AUC 0.849 (cont: 0.228, recon: 0.042)
Epoch 16 valid AUC 0.791 (cont: 0.221, recon: 0.068)
Epoch 16 test AUC 0.744 (cont: 0.196, recon: 0.075)
Epoch 17 train AUC 0.850 (cont: 0.227, recon: 0.042)
Epoch 17 valid AUC 0.792 (cont: 0.221, recon: 0.068)
Epoch 17 test AUC 0.745 (cont: 0.196, recon: 0.075)
Epoch 18 train AUC 0.851 (cont: 0.227, recon: 0.042)
Epoch 18 valid AUC 0.793 (cont: 0.221, recon: 0.068)
Epoch 18 test AUC 0.746 (cont: 0.196, recon: 0.075)
Epoch 19 train AUC 0.852 (cont: 0.227, recon: 0.042)
Epoch 19 valid AUC 0.793 (cont: 0.221, recon: 0.068)
Epoch 19 test AUC 0.746 (cont: 0.196, recon: 0.075)
Epoch 20 train AUC 0.853 (cont: 0.226, recon: 0.042)
Epoch 20 valid AUC 0.794 (cont: 0.220, recon: 0.068)
Epoch 20 test AUC 0.747 (cont: 0.195, recon: 0.075)
Epoch 21 train AUC 0.853 (cont: 0.226, recon: 0.042)
Epoch 21 valid AUC 0.794 (cont: 0.220, recon: 0.068)
Epoch 21 test AUC 0.747 (cont: 0.195, recon: 0.075)
Epoch 22 train AUC 0.854 (cont: 0.226, recon: 0.042)
Epoch 22 valid AUC 0.795 (cont: 0.220, recon: 0.068)
Epoch 22 test AUC 0.747 (cont: 0.195, recon: 0.075)
Epoch 23 train AUC 0.854 (cont: 0.225, recon: 0.042)
Epoch 23 valid AUC 0.795 (cont: 0.220, recon: 0.068)
Epoch 23 test AUC 0.748 (cont: 0.195, recon: 0.075)
Epoch 24 train AUC 0.855 (cont: 0.225, recon: 0.042)
Epoch 24 valid AUC 0.795 (cont: 0.220, recon: 0.068)
Epoch 24 test AUC 0.748 (cont: 0.195, recon: 0.075)
Epoch 25 train AUC 0.855 (cont: 0.225, recon: 0.042)
Epoch 25 valid AUC 0.796 (cont: 0.220, recon: 0.068)
Epoch 25 test AUC 0.748 (cont: 0.195, recon: 0.075)
Epoch 26 train AUC 0.856 (cont: 0.225, recon: 0.042)
Epoch 26 valid AUC 0.796 (cont: 0.220, recon: 0.068)
Epoch 26 test AUC 0.749 (cont: 0.195, recon: 0.075)
Epoch 27 train AUC 0.856 (cont: 0.225, recon: 0.042)
Epoch 27 valid AUC 0.796 (cont: 0.220, recon: 0.068)
Epoch 27 test AUC 0.749 (cont: 0.195, recon: 0.075)
Epoch 28 train AUC 0.857 (cont: 0.224, recon: 0.042)
Epoch 28 valid AUC 0.797 (cont: 0.220, recon: 0.068)
Epoch 28 test AUC 0.749 (cont: 0.195, recon: 0.075)
Epoch 29 train AUC 0.857 (cont: 0.224, recon: 0.042)
Epoch 29 valid AUC 0.797 (cont: 0.220, recon: 0.068)
Epoch 29 test AUC 0.750 (cont: 0.195, recon: 0.075)
Epoch 30 train AUC 0.857 (cont: 0.224, recon: 0.042)
Epoch 30 valid AUC 0.797 (cont: 0.220, recon: 0.068)
Epoch 30 test AUC 0.750 (cont: 0.195, recon: 0.075)
Epoch 31 train AUC 0.858 (cont: 0.224, recon: 0.042)
Epoch 31 valid AUC 0.798 (cont: 0.220, recon: 0.068)
Epoch 31 test AUC 0.750 (cont: 0.195, recon: 0.075)
Epoch 32 train AUC 0.858 (cont: 0.224, recon: 0.042)
Epoch 32 valid AUC 0.798 (cont: 0.219, recon: 0.068)
Epoch 32 test AUC 0.750 (cont: 0.195, recon: 0.075)
Epoch 33 train AUC 0.858 (cont: 0.224, recon: 0.042)
Epoch 33 valid AUC 0.798 (cont: 0.219, recon: 0.068)
Epoch 33 test AUC 0.750 (cont: 0.195, recon: 0.075)
Epoch 34 train AUC 0.859 (cont: 0.223, recon: 0.042)
Epoch 34 valid AUC 0.798 (cont: 0.219, recon: 0.068)
Epoch 34 test AUC 0.751 (cont: 0.195, recon: 0.075)
Epoch 35 train AUC 0.859 (cont: 0.223, recon: 0.042)
Epoch 35 valid AUC 0.798 (cont: 0.219, recon: 0.068)
Epoch 35 test AUC 0.751 (cont: 0.195, recon: 0.075)
Epoch 36 train AUC 0.859 (cont: 0.223, recon: 0.042)
Epoch 36 valid AUC 0.799 (cont: 0.219, recon: 0.068)
Epoch 36 test AUC 0.751 (cont: 0.195, recon: 0.075)
Epoch 37 train AUC 0.860 (cont: 0.223, recon: 0.042)
Epoch 37 valid AUC 0.799 (cont: 0.219, recon: 0.068)
Epoch 37 test AUC 0.751 (cont: 0.195, recon: 0.075)
Epoch 38 train AUC 0.860 (cont: 0.223, recon: 0.042)
Epoch 38 valid AUC 0.799 (cont: 0.219, recon: 0.068)
Epoch 38 test AUC 0.751 (cont: 0.195, recon: 0.075)
Epoch 39 train AUC 0.860 (cont: 0.223, recon: 0.042)
Epoch 39 valid AUC 0.799 (cont: 0.219, recon: 0.068)
Epoch 39 test AUC 0.751 (cont: 0.195, recon: 0.075)
