Epoch 0 train AUC 0.786 (cont: 0.333, recon: 0.203)
Epoch 0 valid AUC 0.775 (cont: 0.387, recon: 0.452)
Epoch 0 test AUC 0.734 (cont: 0.384, recon: 0.520)
Epoch 1 train AUC 0.863 (cont: 0.269, recon: 0.203)
Epoch 1 valid AUC 0.808 (cont: 0.370, recon: 0.452)
Epoch 1 test AUC 0.753 (cont: 0.377, recon: 0.520)
Epoch 2 train AUC 0.883 (cont: 0.249, recon: 0.203)
Epoch 2 valid AUC 0.822 (cont: 0.363, recon: 0.452)
Epoch 2 test AUC 0.761 (cont: 0.375, recon: 0.520)
Epoch 3 train AUC 0.894 (cont: 0.237, recon: 0.203)
Epoch 3 valid AUC 0.832 (cont: 0.358, recon: 0.452)
Epoch 3 test AUC 0.766 (cont: 0.373, recon: 0.520)
Epoch 4 train AUC 0.901 (cont: 0.229, recon: 0.203)
Epoch 4 valid AUC 0.839 (cont: 0.354, recon: 0.452)
Epoch 4 test AUC 0.771 (cont: 0.371, recon: 0.520)
Epoch 5 train AUC 0.906 (cont: 0.223, recon: 0.203)
Epoch 5 valid AUC 0.844 (cont: 0.351, recon: 0.452)
Epoch 5 test AUC 0.774 (cont: 0.369, recon: 0.520)
Epoch 6 train AUC 0.911 (cont: 0.217, recon: 0.203)
Epoch 6 valid AUC 0.848 (cont: 0.347, recon: 0.452)
Epoch 6 test AUC 0.777 (cont: 0.366, recon: 0.520)
Epoch 7 train AUC 0.914 (cont: 0.213, recon: 0.203)
Epoch 7 valid AUC 0.851 (cont: 0.344, recon: 0.452)
Epoch 7 test AUC 0.780 (cont: 0.364, recon: 0.520)
Epoch 8 train AUC 0.918 (cont: 0.208, recon: 0.203)
Epoch 8 valid AUC 0.853 (cont: 0.341, recon: 0.452)
Epoch 8 test AUC 0.782 (cont: 0.362, recon: 0.520)
Epoch 9 train AUC 0.920 (cont: 0.205, recon: 0.203)
Epoch 9 valid AUC 0.855 (cont: 0.338, recon: 0.453)
Epoch 9 test AUC 0.784 (cont: 0.360, recon: 0.520)
Epoch 10 train AUC 0.923 (cont: 0.201, recon: 0.203)
Epoch 10 valid AUC 0.856 (cont: 0.336, recon: 0.453)
Epoch 10 test AUC 0.785 (cont: 0.358, recon: 0.520)
Epoch 11 train AUC 0.925 (cont: 0.198, recon: 0.203)
Epoch 11 valid AUC 0.857 (cont: 0.334, recon: 0.453)
Epoch 11 test AUC 0.786 (cont: 0.356, recon: 0.520)
Epoch 12 train AUC 0.927 (cont: 0.195, recon: 0.203)
Epoch 12 valid AUC 0.858 (cont: 0.332, recon: 0.453)
Epoch 12 test AUC 0.787 (cont: 0.354, recon: 0.520)
Epoch 13 train AUC 0.928 (cont: 0.193, recon: 0.203)
Epoch 13 valid AUC 0.859 (cont: 0.331, recon: 0.453)
