Epoch 0 train AUC 0.503 (cont: 0.346, recon: 0.000)
Epoch 0 valid AUC 0.521 (cont: 0.683, recon: 0.000)
Epoch 0 test AUC 0.511 (cont: 1.453, recon: 0.000)
Epoch 1 train AUC 0.513 (cont: 0.345, recon: 0.000)
Epoch 1 valid AUC 0.531 (cont: 0.682, recon: 0.000)
Epoch 1 test AUC 0.520 (cont: 1.452, recon: 0.000)
Epoch 2 train AUC 0.524 (cont: 0.345, recon: 0.000)
Epoch 2 valid AUC 0.540 (cont: 0.682, recon: 0.000)
Epoch 2 test AUC 0.530 (cont: 1.451, recon: 0.000)
Epoch 3 train AUC 0.536 (cont: 0.344, recon: 0.000)
Epoch 3 valid AUC 0.551 (cont: 0.681, recon: 0.000)
Epoch 3 test AUC 0.540 (cont: 1.450, recon: 0.000)
Epoch 4 train AUC 0.549 (cont: 0.344, recon: 0.000)
Epoch 4 valid AUC 0.562 (cont: 0.680, recon: 0.000)
Epoch 4 test AUC 0.550 (cont: 1.449, recon: 0.000)
Epoch 5 train AUC 0.562 (cont: 0.343, recon: 0.000)
Epoch 5 valid AUC 0.572 (cont: 0.680, recon: 0.000)
Epoch 5 test AUC 0.560 (cont: 1.448, recon: 0.000)
Epoch 6 train AUC 0.575 (cont: 0.343, recon: 0.000)
Epoch 6 valid AUC 0.584 (cont: 0.679, recon: 0.000)
Epoch 6 test AUC 0.570 (cont: 1.447, recon: 0.000)
Epoch 7 train AUC 0.589 (cont: 0.342, recon: 0.000)
Epoch 7 valid AUC 0.595 (cont: 0.678, recon: 0.000)
Epoch 7 test AUC 0.581 (cont: 1.445, recon: 0.000)
Epoch 8 train AUC 0.603 (cont: 0.342, recon: 0.000)
Epoch 8 valid AUC 0.606 (cont: 0.677, recon: 0.000)
Epoch 8 test AUC 0.591 (cont: 1.444, recon: 0.000)
Epoch 9 train AUC 0.617 (cont: 0.341, recon: 0.000)
Epoch 9 valid AUC 0.618 (cont: 0.677, recon: 0.000)
Epoch 9 test AUC 0.602 (cont: 1.443, recon: 0.000)
Epoch 10 train AUC 0.631 (cont: 0.341, recon: 0.000)
Epoch 10 valid AUC 0.629 (cont: 0.676, recon: 0.000)
Epoch 10 test AUC 0.612 (cont: 1.442, recon: 0.000)
Epoch 11 train AUC 0.645 (cont: 0.340, recon: 0.000)
Epoch 11 valid AUC 0.640 (cont: 0.675, recon: 0.000)
Epoch 11 test AUC 0.622 (cont: 1.441, recon: 0.000)
Epoch 12 train AUC 0.660 (cont: 0.339, recon: 0.000)
Epoch 12 valid AUC 0.650 (cont: 0.674, recon: 0.000)
Epoch 12 test AUC 0.632 (cont: 1.439, recon: 0.000)
Epoch 13 train AUC 0.673 (cont: 0.338, recon: 0.000)
Epoch 13 valid AUC 0.660 (cont: 0.674, recon: 0.000)
Epoch 13 test AUC 0.641 (cont: 1.438, recon: 0.000)
Epoch 14 train AUC 0.687 (cont: 0.338, recon: 0.000)
Epoch 14 valid AUC 0.669 (cont: 0.673, recon: 0.000)
Epoch 14 test AUC 0.650 (cont: 1.437, recon: 0.000)
Epoch 15 train AUC 0.700 (cont: 0.337, recon: 0.000)
Epoch 15 valid AUC 0.678 (cont: 0.672, recon: 0.000)
Epoch 15 test AUC 0.658 (cont: 1.435, recon: 0.000)
Epoch 16 train AUC 0.712 (cont: 0.336, recon: 0.000)
Epoch 16 valid AUC 0.685 (cont: 0.671, recon: 0.000)
Epoch 16 test AUC 0.666 (cont: 1.434, recon: 0.000)
Epoch 17 train AUC 0.724 (cont: 0.335, recon: 0.000)
Epoch 17 valid AUC 0.693 (cont: 0.670, recon: 0.000)
Epoch 17 test AUC 0.674 (cont: 1.433, recon: 0.000)
Epoch 18 train AUC 0.735 (cont: 0.335, recon: 0.000)
Epoch 18 valid AUC 0.699 (cont: 0.669, recon: 0.000)
Epoch 18 test AUC 0.681 (cont: 1.431, recon: 0.000)
Epoch 19 train AUC 0.746 (cont: 0.334, recon: 0.000)
Epoch 19 valid AUC 0.705 (cont: 0.668, recon: 0.000)
Epoch 19 test AUC 0.687 (cont: 1.430, recon: 0.000)
Epoch 20 train AUC 0.756 (cont: 0.333, recon: 0.000)
Epoch 20 valid AUC 0.711 (cont: 0.667, recon: 0.000)
Epoch 20 test AUC 0.693 (cont: 1.428, recon: 0.000)
Epoch 21 train AUC 0.766 (cont: 0.332, recon: 0.000)
Epoch 21 valid AUC 0.716 (cont: 0.666, recon: 0.000)
Epoch 21 test AUC 0.699 (cont: 1.427, recon: 0.000)
Epoch 22 train AUC 0.776 (cont: 0.331, recon: 0.000)
Epoch 22 valid AUC 0.720 (cont: 0.665, recon: 0.000)
Epoch 22 test AUC 0.704 (cont: 1.426, recon: 0.000)
Epoch 23 train AUC 0.784 (cont: 0.330, recon: 0.000)
Epoch 23 valid AUC 0.725 (cont: 0.664, recon: 0.000)
Epoch 23 test AUC 0.709 (cont: 1.424, recon: 0.000)
Epoch 24 train AUC 0.793 (cont: 0.330, recon: 0.000)
Epoch 24 valid AUC 0.729 (cont: 0.663, recon: 0.000)
Epoch 24 test AUC 0.714 (cont: 1.423, recon: 0.000)
Epoch 25 train AUC 0.801 (cont: 0.329, recon: 0.000)
Epoch 25 valid AUC 0.733 (cont: 0.662, recon: 0.000)
Epoch 25 test AUC 0.719 (cont: 1.421, recon: 0.000)
Epoch 26 train AUC 0.809 (cont: 0.328, recon: 0.000)
