Epoch 0 train AUC 0.510 (cont: 0.034, recon: 0.000) protein
Epoch 0 valid AUC 0.502 (cont: 0.103, recon: 0.000) protein
Epoch 0 test AUC 0.511 (cont: 0.259, recon: 0.000) protein
Epoch 1 train AUC 0.497 (cont: 0.006, recon: 0.000) dna
Epoch 1 valid AUC 0.434 (cont: 0.103, recon: 0.000) dna
Epoch 1 test AUC 0.426 (cont: 0.173, recon: 0.000) dna
Epoch 2 train AUC 0.494 (cont: 0.043, recon: 0.000) molecule
Epoch 2 valid AUC 0.482 (cont: 0.138, recon: 0.000) molecule
Epoch 2 test AUC 0.489 (cont: 0.260, recon: 0.000) molecule
Epoch 3 train AUC 0.534 (cont: 0.033, recon: 0.000) text
Epoch 3 valid AUC 0.507 (cont: 0.138, recon: 0.000) text
Epoch 3 test AUC 0.528 (cont: 0.344, recon: 0.000) text
Epoch 4 train AUC 0.546 (cont: 0.259, recon: 0.000) protein
Epoch 4 valid AUC 0.594 (cont: 0.273, recon: 0.000) protein
Epoch 4 test AUC 0.545 (cont: 0.344, recon: 0.000) protein
Epoch 5 train AUC 0.521 (cont: 0.006, recon: 0.000) dna
Epoch 5 valid AUC 0.437 (cont: 0.103, recon: 0.000) dna
Epoch 5 test AUC 0.444 (cont: 0.173, recon: 0.000) dna
Epoch 6 train AUC 0.544 (cont: 0.043, recon: 0.000) molecule
Epoch 6 valid AUC 0.541 (cont: 0.137, recon: 0.000) molecule
Epoch 6 test AUC 0.555 (cont: 0.258, recon: 0.000) molecule
Epoch 7 train AUC 0.596 (cont: 0.032, recon: 0.000) text
Epoch 7 valid AUC 0.555 (cont: 0.137, recon: 0.000) text
Epoch 7 test AUC 0.568 (cont: 0.343, recon: 0.000) text
Epoch 8 train AUC 0.672 (cont: 0.254, recon: 0.000) protein
Epoch 8 valid AUC 0.688 (cont: 0.268, recon: 0.000) protein
Epoch 8 test AUC 0.601 (cont: 0.342, recon: 0.000) protein
Epoch 9 train AUC 0.562 (cont: 0.006, recon: 0.000) dna
Epoch 9 valid AUC 0.441 (cont: 0.103, recon: 0.000) dna
