Epoch 0 train AUC 0.585 (cont: 0.038, recon: 0.000) protein
Epoch 0 valid AUC 0.636 (cont: 0.050, recon: 0.000) protein
Epoch 0 test AUC 0.608 (cont: 0.057, recon: 0.000) protein
Epoch 1 train AUC 0.514 (cont: 0.007, recon: 0.000) dna
Epoch 1 valid AUC 0.578 (cont: 0.043, recon: 0.000) dna
Epoch 1 test AUC 0.509 (cont: 0.074, recon: 0.000) dna
Epoch 2 train AUC 0.569 (cont: 0.056, recon: 0.000) molecule
Epoch 2 valid AUC 0.669 (cont: 0.056, recon: 0.000) molecule
Epoch 2 test AUC 0.699 (cont: 0.060, recon: 0.000) molecule
Epoch 3 train AUC 0.656 (cont: 0.039, recon: 0.000) text
Epoch 3 valid AUC 0.664 (cont: 0.070, recon: 0.000) text
Epoch 3 test AUC 0.682 (cont: 0.094, recon: 0.000) text
Epoch 4 train AUC 0.819 (cont: 0.253, recon: 0.000) protein
Epoch 4 valid AUC 0.822 (cont: 0.203, recon: 0.000) protein
Epoch 4 test AUC 0.768 (cont: 0.176, recon: 0.000) protein
Epoch 5 train AUC 0.607 (cont: 0.008, recon: 0.000) dna
Epoch 5 valid AUC 0.593 (cont: 0.041, recon: 0.000) dna
Epoch 5 test AUC 0.611 (cont: 0.072, recon: 0.000) dna
Epoch 6 train AUC 0.630 (cont: 0.050, recon: 0.000) molecule
Epoch 6 valid AUC 0.678 (cont: 0.052, recon: 0.000) molecule
Epoch 6 test AUC 0.692 (cont: 0.055, recon: 0.000) molecule
Epoch 7 train AUC 0.727 (cont: 0.032, recon: 0.000) text
Epoch 7 valid AUC 0.709 (cont: 0.065, recon: 0.000) text
Epoch 7 test AUC 0.663 (cont: 0.093, recon: 0.000) text
Epoch 8 train AUC 0.885 (cont: 0.194, recon: 0.000) protein
Epoch 8 valid AUC 0.846 (cont: 0.185, recon: 0.000) protein
Epoch 8 test AUC 0.792 (cont: 0.164, recon: 0.000) protein
Epoch 9 train AUC 0.642 (cont: 0.008, recon: 0.000) dna
