name,seed,use_fuse,use_model,acc
mol-roberta-BACE,42,True,True,0.871796875
mol-pebchem10m-BACE,42,True,True,0.862109375
mol-roberta-BACE,42,True,False,0.9085937500000001
mol-chemberta-BACE,42,True,True,0.858984375
mol-pebchem10m-BACE,42,True,False,0.895859375
mol-roberta-BACE,42,False,True,0.8758593750000001
mol-pebchem10m-BACE,42,False,True,0.871328125
mol-chemberta-BACE,42,True,False,0.86421875
mol-roberta-BACE,43,True,True,0.8785046728971961
mol-chemberta-BACE,42,False,True,0.85609375
mol-pebchem10m-BACE,43,True,True,0.863366030740712
mol-roberta-BACE,43,True,False,0.8973507376226152
mol-chemberta-BACE,43,True,True,0.8693905924152312
mol-pebchem10m-BACE,43,True,False,0.8811307638835252
mol-roberta-BACE,43,False,True,0.8764192477021705
mol-chemberta-BACE,43,True,False,0.8801266702711054
mol-pebchem10m-BACE,43,False,True,0.8510851934811152
mol-roberta-BACE,44,True,True,0.8515312403816558
mol-chemberta-BACE,43,False,True,0.8528616667953967
mol-pebchem10m-BACE,44,True,True,0.8477608494921514
mol-roberta-BACE,44,True,False,0.8635349338257925
mol-chemberta-BACE,44,True,True,0.8112111418898122
mol-roberta-BACE,44,False,True,0.8398353339489073
mol-pebchem10m-BACE,44,True,False,0.8663819636811326
mol-chemberta-BACE,44,True,False,0.8514542936288089
mol-roberta-BACE,45,True,True,0.8332820197044335
mol-pebchem10m-BACE,44,False,True,0.8344490612496153
mol-chemberta-BACE,44,False,True,0.8405278547245306
mol-pebchem10m-BACE,45,True,True,0.8716902709359605
mol-roberta-BACE,45,True,False,0.8820812807881774
mol-chemberta-BACE,45,True,True,0.8354371921182265
mol-roberta-BACE,45,False,True,0.8554495073891625
mol-pebchem10m-BACE,45,True,False,0.882158251231527
mol-chemberta-BACE,45,True,False,0.8624538177339902
mol-pebchem10m-BACE,45,False,True,0.8532173645320198
mol-roberta-BACE,46,True,True,0.848864948056945
mol-chemberta-BACE,45,False,True,0.8408251231527093
mol-pebchem10m-BACE,46,True,True,0.8477106579453636
mol-roberta-BACE,46,True,False,0.8848018468641785
mol-chemberta-BACE,46,True,True,0.8563293574451712
mol-pebchem10m-BACE,46,True,False,0.8596383224317045
mol-roberta-BACE,46,False,True,0.8528664871104271
mol-chemberta-BACE,46,True,False,0.8614082339361293
mol-pebchem10m-BACE,46,False,True,0.8337822239322816
mol-roberta-BACE,47,True,True,0.8370886566008516
mol-chemberta-BACE,46,False,True,0.8542516352443247
mol-pebchem10m-BACE,47,True,True,0.8459930313588849
mol-roberta-BACE,47,True,False,0.8627177700348432
mol-chemberta-BACE,47,True,True,0.813395276809911
mol-pebchem10m-BACE,47,True,False,0.8613240418118467
mol-roberta-BACE,47,False,True,0.832133178474642
mol-pebchem10m-BACE,47,False,True,0.8327526132404182
mol-roberta-BACE,48,True,True,0.8449522930132348
mol-chemberta-BACE,47,True,False,0.8371660859465738
mol-pebchem10m-BACE,48,True,True,0.8345644813788858
mol-roberta-BACE,48,True,False,0.873730378578024
mol-chemberta-BACE,47,False,True,0.7897018970189702
mol-roberta-BACE,48,False,True,0.8535703293321022
mol-chemberta-BACE,48,True,True,0.8517236072637734
mol-pebchem10m-BACE,48,True,False,0.8621883656509695
mol-roberta-BACE,49,True,True,0.8715589236003712
mol-pebchem10m-BACE,48,False,True,0.8418744228993537
mol-chemberta-BACE,48,True,False,0.8605724838411819
mol-roberta-BACE,49,True,False,0.9007887411073306
mol-pebchem10m-BACE,49,True,True,0.8791370244355088
mol-chemberta-BACE,48,False,True,0.8307940904893814
mol-roberta-BACE,49,False,True,0.8940612434271575
mol-chemberta-BACE,49,True,True,0.8547788431797092
mol-pebchem10m-BACE,49,True,False,0.8947571914630374
mol-roberta-BACE,50,True,True,0.889140625
mol-pebchem10m-BACE,49,False,True,0.856789359727807
mol-chemberta-BACE,49,True,False,0.8846272811630065
mol-roberta-BACE,50,True,False,0.8987499999999999
mol-pebchem10m-BACE,50,True,True,0.855
mol-chemberta-BACE,49,False,True,0.8490566037735848
mol-roberta-BACE,50,False,True,0.8469531249999999
mol-chemberta-BACE,50,True,True,0.854140625
mol-pebchem10m-BACE,50,True,False,0.883671875
mol-roberta-BACE,51,True,True,0.8835446953294154
mol-chemberta-BACE,50,True,False,0.8531249999999999
mol-pebchem10m-BACE,50,False,True,0.8214843749999999
mol-roberta-BACE,51,True,False,0.8731828023507577
mol-chemberta-BACE,50,False,True,0.81390625
mol-pebchem10m-BACE,51,True,True,0.852613671512527
mol-roberta-BACE,51,False,True,0.8881070213424065
mol-chemberta-BACE,51,True,True,0.8524590163934426
mol-roberta-BACE,52,True,True,0.8790123456790124
mol-pebchem10m-BACE,51,True,False,0.8835446953294154
mol-chemberta-BACE,51,True,False,0.8361429013300341
mol-roberta-BACE,52,True,False,0.8905615292712068
mol-pebchem10m-BACE,51,False,True,0.8678472007423446
mol-chemberta-BACE,51,False,True,0.8710949582431178
mol-roberta-BACE,52,False,True,0.8821983273596178
mol-pebchem10m-BACE,52,True,True,0.8918359219434489
