name,seed,use_fuse,use_model,acc
mol-roberta-ClinTox,42,True,True,0.7849753694581281
mol-roberta-ClinTox,42,True,False,0.7810344827586206
mol-chemberta-ClinTox,42,True,True,0.7024630541871921
mol-roberta-ClinTox,42,False,True,0.7815270935960591
mol-chemberta-ClinTox,42,True,False,0.7167487684729064
mol-roberta-ClinTox,43,True,True,0.7760663507109005
mol-chemberta-ClinTox,42,False,True,0.7036945812807882
mol-roberta-ClinTox,43,True,False,0.8803317535545023
mol-chemberta-ClinTox,43,True,True,0.8744075829383886
mol-roberta-ClinTox,43,False,True,0.7586887835703002
mol-chemberta-ClinTox,43,True,False,0.8617693522906793
mol-roberta-ClinTox,44,True,True,0.718804347826087
mol-chemberta-ClinTox,43,False,True,0.8076619273301737
mol-chemberta-ClinTox,44,True,True,0.7874999999999999
mol-roberta-ClinTox,44,True,False,0.831195652173913
mol-chemberta-ClinTox,44,True,False,0.7768478260869566
mol-roberta-ClinTox,44,False,True,0.703804347826087
mol-chemberta-ClinTox,44,False,True,0.6948913043478261
mol-roberta-ClinTox,45,True,True,0.6985576923076923
mol-chemberta-ClinTox,45,True,True,0.7738782051282052
mol-roberta-ClinTox,45,True,False,0.8181089743589745
mol-chemberta-ClinTox,45,True,False,0.8421474358974359
mol-pebchem10m-ClinTox,42,True,True,0.7706896551724138
mol-roberta-ClinTox,45,False,True,0.8203525641025641
mol-chemberta-ClinTox,45,False,True,0.7607371794871794
mol-pebchem10m-ClinTox,42,True,False,0.8224137931034483
mol-roberta-ClinTox,46,True,True,0.8308270676691729
mol-chemberta-ClinTox,46,True,True,0.7204374572795627
mol-pebchem10m-ClinTox,42,False,True,0.7623152709359606
mol-roberta-ClinTox,46,True,False,0.7915242652084757
mol-chemberta-ClinTox,46,True,False,0.8164730006835269
mol-pebchem10m-ClinTox,43,True,True,0.839652448657188
mol-roberta-ClinTox,46,False,True,0.7785372522214626
mol-chemberta-ClinTox,46,False,True,0.7935748462064252
mol-pebchem10m-ClinTox,43,True,False,0.8720379146919431
mol-roberta-ClinTox,47,True,True,0.7071673329525985
mol-chemberta-ClinTox,47,True,True,0.7237292975442604
mol-pebchem10m-ClinTox,43,False,True,0.8672985781990521
mol-roberta-ClinTox,47,True,False,0.7185893774985722
mol-chemberta-ClinTox,47,True,False,0.7685608223872074
mol-pebchem10m-ClinTox,44,True,True,0.8048913043478261
mol-roberta-ClinTox,47,False,True,0.7160194174757281
mol-chemberta-ClinTox,47,False,True,0.634351798972016
mol-roberta-ClinTox,48,True,True,0.7216183574879227
mol-pebchem10m-ClinTox,44,True,False,0.7994565217391305
mol-chemberta-ClinTox,48,True,True,0.7620772946859904
mol-pebchem10m-ClinTox,44,False,True,0.8177173913043478
mol-roberta-ClinTox,48,True,False,0.7515096618357489
mol-chemberta-ClinTox,48,True,False,0.7563405797101449
mol-pebchem10m-ClinTox,45,True,True,0.8745192307692308
mol-roberta-ClinTox,48,False,True,0.6606280193236714
mol-chemberta-ClinTox,48,False,True,0.623792270531401
mol-roberta-ClinTox,49,True,True,0.7422600619195047
mol-pebchem10m-ClinTox,45,True,False,0.8520833333333333
mol-chemberta-ClinTox,49,True,True,0.7242002063983488
mol-roberta-ClinTox,49,True,False,0.7582559339525284
mol-pebchem10m-ClinTox,45,False,True,0.7940705128205128
mol-chemberta-ClinTox,49,True,False,0.7412280701754386
mol-roberta-ClinTox,49,False,True,0.739422084623323
mol-pebchem10m-ClinTox,46,True,True,0.7887901572112098
mol-chemberta-ClinTox,49,False,True,0.7840557275541795
mol-roberta-ClinTox,50,True,True,0.8213877784123358
mol-pebchem10m-ClinTox,46,True,False,0.7235133287764868
mol-chemberta-ClinTox,50,True,True,0.819103369503141
mol-roberta-ClinTox,50,True,False,0.8025414049114791
mol-chemberta-ClinTox,50,True,False,0.7908338092518561
mol-pebchem10m-ClinTox,46,False,True,0.7792207792207793
mol-roberta-ClinTox,50,False,True,0.7899771559109081
mol-chemberta-ClinTox,50,False,True,0.8312392918332381
mol-pebchem10m-ClinTox,47,True,True,0.7065962307252998
mol-roberta-ClinTox,51,True,True,0.7714092140921409
mol-chemberta-ClinTox,51,True,True,0.7220867208672087
mol-pebchem10m-ClinTox,47,True,False,0.7642775556824672
mol-roberta-ClinTox,51,True,False,0.790650406504065
mol-chemberta-ClinTox,51,True,False,0.7004065040650407
mol-pebchem10m-ClinTox,47,False,True,0.7314391776127926
mol-roberta-ClinTox,51,False,True,0.7082655826558266
mol-chemberta-ClinTox,51,False,True,0.6456639566395664
mol-pebchem10m-ClinTox,48,True,True,0.7400362318840579
mol-chemberta-ClinTox,52,True,True,0.8326670474014849
mol-roberta-ClinTox,52,True,True,0.750428326670474
mol-pebchem10m-ClinTox,48,True,False,0.7472826086956522
mol-roberta-ClinTox,52,True,False,0.8006853226727584
mol-chemberta-ClinTox,52,True,False,0.8495145631067962
mol-pebchem10m-ClinTox,48,False,True,0.7666062801932367
mol-roberta-ClinTox,52,False,True,0.8118218161050829
mol-chemberta-ClinTox,52,False,True,0.8335237007424329
mol-pebchem10m-ClinTox,49,True,True,0.7680598555211559
mol-roberta-ClinTox,53,True,True,0.8059294871794872
mol-chemberta-ClinTox,53,True,True,0.9004807692307693
mol-pebchem10m-ClinTox,49,True,False,0.7863777089783281
mol-chemberta-ClinTox,53,True,False,0.9116987179487179
mol-roberta-ClinTox,53,True,False,0.883173076923077
mol-pebchem10m-ClinTox,49,False,True,0.813467492260062
mol-chemberta-ClinTox,53,False,True,0.8491987179487179
mol-roberta-ClinTox,53,False,True,0.833173076923077
mol-pebchem10m-ClinTox,50,True,True,0.8593660765276985
mol-chemberta-ClinTox,54,True,True,0.8180687471732248
mol-roberta-ClinTox,54,True,True,0.7414066033469018
mol-chemberta-ClinTox,54,True,False,0.8775440976933515
mol-pebchem10m-ClinTox,50,True,False,0.8442318675042833
mol-roberta-ClinTox,54,True,False,0.8501809136137495
mol-chemberta-ClinTox,54,False,True,0.7775893260967889
mol-pebchem10m-ClinTox,50,False,True,0.8213877784123358
mol-roberta-ClinTox,54,False,True,0.8300542740841248
mol-chemberta-ClinTox,55,True,True,0.8128216123499142
mol-pebchem10m-ClinTox,51,True,True,0.7014905149051491
mol-roberta-ClinTox,55,True,True,0.7617924528301886
mol-chemberta-ClinTox,55,True,False,0.8102487135506004
mol-pebchem10m-ClinTox,51,True,False,0.7239837398373984
mol-roberta-ClinTox,55,True,False,0.8445540308747856
mol-chemberta-ClinTox,55,False,True,0.6953259005145798
mol-pebchem10m-ClinTox,51,False,True,0.7372628726287263
mol-roberta-ClinTox,55,False,True,0.7888078902229845
mol-chemberta-ClinTox,56,True,True,0.8442982456140351
mol-roberta-ClinTox,56,True,True,0.8639060887512899
mol-pebchem10m-ClinTox,52,True,True,0.7701313535122787
mol-chemberta-ClinTox,56,True,False,0.8507481940144479
mol-chemberta-ClinTox,56,False,True,0.8907378740970072
mol-roberta-ClinTox,56,True,False,0.8783539731682148
mol-pebchem10m-ClinTox,52,True,False,0.7729868646487721
mol-roberta-ClinTox,56,False,True,0.8068885448916409
mol-pebchem10m-ClinTox,52,False,True,0.8083952027412907
mol-chemberta-ClinTox,57,True,True,0.8274091627172198
mol-roberta-ClinTox,57,True,True,0.7405213270142179
mol-chemberta-ClinTox,57,True,False,0.7507898894154819
mol-pebchem10m-ClinTox,53,True,True,0.8020833333333334
mol-chemberta-ClinTox,57,False,True,0.768562401263823
mol-roberta-ClinTox,57,True,False,0.7701421800947867
mol-pebchem10m-ClinTox,53,True,False,0.8482371794871795
mol-chemberta-ClinTox,58,True,True,0.8472317156527683
mol-roberta-ClinTox,57,False,True,0.6571879936808847
mol-pebchem10m-ClinTox,53,False,True,0.795352564102564
mol-chemberta-ClinTox,58,True,False,0.8185235816814764
mol-pebchem10m-ClinTox,54,True,True,0.800429669832655
mol-roberta-ClinTox,58,True,True,0.7775119617224882
mol-chemberta-ClinTox,58,False,True,0.8291182501708817
mol-roberta-ClinTox,58,True,False,0.8113465481886535
mol-pebchem10m-ClinTox,54,True,False,0.8341248303934872
mol-chemberta-ClinTox,59,True,True,0.6684726522187823
mol-pebchem10m-ClinTox,54,False,True,0.8289235639981908
mol-roberta-ClinTox,58,False,True,0.8776486671223513
mol-chemberta-ClinTox,59,True,False,0.7693498452012384
mol-chemberta-ClinTox,59,False,True,0.6257739938080495
mol-roberta-ClinTox,59,True,True,0.6563467492260062
mol-pebchem10m-ClinTox,55,True,True,0.7570754716981132
mol-chemberta-ClinTox,60,True,True,0.7139794168096055
mol-roberta-ClinTox,59,True,False,0.696078431372549
mol-pebchem10m-ClinTox,55,True,False,0.7759433962264151
mol-chemberta-ClinTox,60,True,False,0.6946826758147513
mol-roberta-ClinTox,59,False,True,0.6541537667698658
mol-pebchem10m-ClinTox,55,False,True,0.7099056603773584
mol-chemberta-ClinTox,60,False,True,0.7585763293310464
mol-roberta-ClinTox,60,True,True,0.7783018867924528
mol-pebchem10m-ClinTox,56,True,True,0.8254643962848298
mol-chemberta-ClinTox,61,True,True,0.7807881773399015
mol-roberta-ClinTox,60,True,False,0.684819897084048
mol-pebchem10m-ClinTox,56,True,False,0.8662280701754387
mol-chemberta-ClinTox,61,True,False,0.7894088669950738
mol-roberta-ClinTox,60,False,True,0.7066895368782161
mol-chemberta-ClinTox,61,False,True,0.7763546798029557
mol-pebchem10m-ClinTox,56,False,True,0.8195304437564499
mol-roberta-ClinTox,61,True,True,0.7766009852216749
mol-chemberta-ClinTox,62,True,True,0.8115942028985508
mol-pebchem10m-ClinTox,57,True,True,0.8665086887835703
mol-roberta-ClinTox,61,True,False,0.7822660098522167
mol-chemberta-ClinTox,62,True,False,0.6473429951690821
mol-roberta-ClinTox,61,False,True,0.8098522167487685
mol-pebchem10m-ClinTox,57,True,False,0.8033175355450237
mol-chemberta-ClinTox,62,False,True,0.7952898550724637
mol-roberta-ClinTox,62,True,True,0.8118961352657005
mol-chemberta-ClinTox,63,True,True,0.7371001031991744
mol-pebchem10m-ClinTox,57,False,True,0.8886255924170616
mol-roberta-ClinTox,62,True,False,0.7940821256038647
mol-chemberta-ClinTox,63,True,False,0.8281733746130031
mol-pebchem10m-ClinTox,58,True,True,0.8386876281613124
mol-roberta-ClinTox,62,False,True,0.8167270531400966
mol-chemberta-ClinTox,63,False,True,0.7450980392156863
mol-pebchem10m-ClinTox,58,True,False,0.7652084757347916
mol-roberta-ClinTox,63,True,True,0.7492260061919505
mol-chemberta-ClinTox,64,True,True,0.7764227642276423
