name,seed,use_fuse,use_model,acc
mol-pebchem10m-HIV,42,True,True,0.77885755996442
mol-pebchem10m-HIV,42,True,False,0.8065734987112365
mol-pebchem10m-HIV,42,False,True,0.8001272317163892
mol-roberta-HIV,42,True,True,0.8184344620190931
mol-pebchem10m-HIV,43,True,True,0.7911288181823023
mol-pebchem10m-HIV,43,True,False,0.8007924066480621
mol-roberta-HIV,42,True,False,0.8088507924688342
mol-roberta-HIV,42,False,True,0.7981529705946369
mol-pebchem10m-HIV,43,False,True,0.8066628179647669
mol-pebchem10m-HIV,44,True,True,0.8000078584443034
mol-roberta-HIV,43,True,True,0.7707664469255641
mol-pebchem10m-HIV,44,True,False,0.7941055186532733
mol-roberta-HIV,43,True,False,0.7979857445907103
mol-roberta-HIV,43,False,True,0.7860813901572111
mol-pebchem10m-HIV,44,False,True,0.7984859937407895
mol-pebchem10m-HIV,45,True,True,0.8061408108606682
mol-roberta-HIV,44,True,True,0.7917544665534079
mol-pebchem10m-HIV,45,True,False,0.8273974638399049
mol-roberta-HIV,44,True,False,0.8042700517928191
mol-roberta-HIV,44,False,True,0.7937271791182502
mol-pebchem10m-HIV,45,False,True,0.7981482683465083
mol-roberta-HIV,45,True,True,0.8211467379050716
mol-pebchem10m-HIV,46,True,True,0.7888582708129209
mol-chemberta-HIV,42,True,True,0.7788484619869003
mol-pebchem10m-HIV,46,True,False,0.7955970243052314
mol-roberta-HIV,45,True,False,0.8212979031585853
mol-pebchem10m-HIV,46,False,True,0.7704553289295247
mol-roberta-HIV,45,False,True,0.8084693535934627
mol-chemberta-HIV,42,True,False,0.7901712449322514
mol-roberta-HIV,46,True,True,0.8123983361864742
mol-chemberta-HIV,42,False,True,0.7799262224007604
mol-pebchem10m-HIV,47,True,True,0.7749431542077816
mol-roberta-HIV,46,True,False,0.8032060531176657
mol-chemberta-HIV,43,True,True,0.7801333963120917
mol-pebchem10m-HIV,47,True,False,0.7832121391912666
mol-roberta-HIV,46,False,True,0.791795450018339
mol-roberta-HIV,47,True,True,0.7783073752792582
mol-pebchem10m-HIV,47,False,True,0.772554000520142
mol-pebchem10m-HIV,48,True,True,0.830534322267329
mol-roberta-HIV,47,True,False,0.7913069481902003
mol-pebchem10m-HIV,48,True,False,0.8348114539173939
mol-chemberta-HIV,43,True,False,0.7668234290108455
mol-pebchem10m-HIV,48,False,True,0.8103623700684325
mol-roberta-HIV,47,False,True,0.7806583534086399
mol-chemberta-HIV,43,False,True,0.7737503318174316
mol-pebchem10m-HIV,49,True,True,0.8458273352921457
mol-roberta-HIV,48,True,True,0.8031762844990035
mol-chemberta-HIV,44,True,True,0.7832957019170554
mol-pebchem10m-HIV,49,True,False,0.8597773001255481
mol-roberta-HIV,48,True,False,0.8333904720922479
mol-pebchem10m-HIV,49,False,True,0.8420313147048963
mol-pebchem10m-HIV,50,True,True,0.7894451043374489
mol-chemberta-HIV,44,True,False,0.7586234273997218
mol-roberta-HIV,48,False,True,0.8226475972954846
mol-chemberta-HIV,44,False,True,0.7615464446210568
mol-roberta-HIV,49,True,True,0.8309176838687201
mol-pebchem10m-HIV,50,True,False,0.8130472000089225
mol-roberta-HIV,49,True,False,0.842332860063234
mol-chemberta-HIV,45,True,True,0.7767340448064061
mol-roberta-HIV,49,False,True,0.8401218013185832
mol-pebchem10m-HIV,50,False,True,0.79395235944279
mol-pebchem10m-HIV,51,True,True,0.8057094878253569
mol-roberta-HIV,50,True,True,0.8091554577798596
mol-chemberta-HIV,45,True,False,0.783430153112467
mol-pebchem10m-HIV,51,True,False,0.8202893796496984
mol-chemberta-HIV,45,False,True,0.807066164262826
mol-roberta-HIV,50,True,False,0.805125695675935
mol-pebchem10m-HIV,51,False,True,0.7936727002909417
mol-roberta-HIV,50,False,True,0.7942270050523639
mol-pebchem10m-HIV,52,True,True,0.7909102914024569
mol-chemberta-HIV,46,True,True,0.7778916257316303
mol-roberta-HIV,51,True,True,0.7909327709761195
mol-pebchem10m-HIV,52,True,False,0.7776522046987016
mol-pebchem10m-HIV,52,False,True,0.7815433498522693
mol-chemberta-HIV,46,True,False,0.795139835750234
mol-roberta-HIV,51,True,False,0.8059055317985668
mol-pebchem10m-HIV,53,True,True,0.8360385482939614
mol-roberta-HIV,51,False,True,0.8032921328568918
mol-chemberta-HIV,46,False,True,0.8022453691283062
mol-roberta-HIV,52,True,True,0.7899753795750121
mol-chemberta-HIV,47,True,True,0.7305227108782048
mol-pebchem10m-HIV,53,True,False,0.8397522424856992
mol-pebchem10m-HIV,53,False,True,0.8349755867229132
mol-chemberta-HIV,47,True,False,0.7576901878476064
mol-pebchem10m-HIV,54,True,True,0.813153552330023
mol-roberta-HIV,52,True,False,0.7998875513330596
mol-roberta-HIV,52,False,True,0.7883348280580489
mol-chemberta-HIV,47,False,True,0.76465404593315
mol-pebchem10m-HIV,54,True,False,0.8154954163483575
mol-roberta-HIV,53,True,True,0.8110811890640972
mol-pebchem10m-HIV,54,False,True,0.806271963330787
mol-chemberta-HIV,48,True,True,0.8004013111177839
mol-roberta-HIV,53,True,False,0.8269744659433488
mol-pebchem10m-HIV,55,True,True,0.7896509625061285
mol-roberta-HIV,53,False,True,0.8098410672312074
mol-pebchem10m-HIV,55,True,False,0.7970108765772972
mol-chemberta-HIV,48,True,False,0.8157696669637883
mol-roberta-HIV,54,True,True,0.8176715049656226
mol-pebchem10m-HIV,55,False,True,0.7934732472324723
mol-pebchem10m-HIV,56,True,True,0.789847975553858
mol-chemberta-HIV,48,False,True,0.8145882738656774
mol-roberta-HIV,54,True,False,0.8214751718869366
mol-chemberta-HIV,49,True,True,0.8311148797433826
mol-roberta-HIV,54,False,True,0.7927845683728036
mol-pebchem10m-HIV,56,True,False,0.8225905271199389
mol-roberta-HIV,55,True,True,0.7741191004567388
mol-chemberta-HIV,49,True,False,0.8302841921213675
mol-pebchem10m-HIV,56,False,True,0.7777039724980902
mol-roberta-HIV,55,True,False,0.8014605320878384
mol-pebchem10m-HIV,57,True,True,0.8287370919139104
mol-chemberta-HIV,49,False,True,0.8259039787554311
mol-roberta-HIV,55,False,True,0.783913503470699
mol-roberta-HIV,56,True,True,0.7865378151260505
mol-pebchem10m-HIV,57,True,False,0.8237956919448779
mol-chemberta-HIV,50,True,True,0.7798771204871684
mol-pebchem10m-HIV,57,False,True,0.8229999166259723
mol-roberta-HIV,56,True,False,0.8014793735676089
mol-pebchem10m-HIV,58,True,True,0.7803666085789908
mol-roberta-HIV,56,False,True,0.8003151260504202
mol-chemberta-HIV,50,True,False,0.7696971091109848
mol-roberta-HIV,57,True,True,0.8043397670291452
mol-pebchem10m-HIV,58,True,False,0.786460953658673
mol-chemberta-HIV,50,False,True,0.7652498020320987
mol-pebchem10m-HIV,58,False,True,0.767612029414886
mol-roberta-HIV,57,True,False,0.8250195035672173
mol-chemberta-HIV,51,True,True,0.7858637455333607
mol-pebchem10m-HIV,59,True,True,0.8057774144348274
mol-roberta-HIV,57,False,True,0.8188684357841326
mol-chemberta-HIV,51,True,False,0.7737496338820221
mol-roberta-HIV,58,True,True,0.779859860443751
mol-roberta-HIV,58,True,False,0.7802511623611305
mol-pebchem10m-HIV,59,True,False,0.8176303013375344
mol-roberta-HIV,58,False,True,0.7894532386107243
mol-chemberta-HIV,51,False,True,0.7972835022357604
mol-pebchem10m-HIV,59,False,True,0.8214515481129531
mol-roberta-HIV,59,True,True,0.8183517131864202
mol-chemberta-HIV,52,True,True,0.8016739296515306
mol-pebchem10m-HIV,60,True,True,0.8324445443951506
mol-chemberta-HIV,52,True,False,0.7742641620103359
mol-pebchem10m-HIV,60,True,False,0.8062682722384642
mol-roberta-HIV,59,True,False,0.84803041619854
mol-pebchem10m-HIV,60,False,True,0.8124760288675812
mol-chemberta-HIV,52,False,True,0.7892592079498291
mol-roberta-HIV,59,False,True,0.8151287008153248
mol-pebchem10m-HIV,61,True,True,0.7771173308698663
mol-roberta-HIV,60,True,True,0.789594586306299
mol-chemberta-HIV,53,True,True,0.8098684937152583
mol-pebchem10m-HIV,61,True,False,0.7955223350760876
mol-roberta-HIV,60,True,False,0.8110997076441846
mol-chemberta-HIV,53,True,False,0.8043112950415141
mol-pebchem10m-HIV,61,False,True,0.7780939667349402
mol-roberta-HIV,60,False,True,0.8311573610287655
mol-pebchem10m-HIV,62,True,True,0.7762710033778826
mol-chemberta-HIV,53,False,True,0.8062014986720393
mol-roberta-HIV,61,True,True,0.8128062306561293
mol-chemberta-HIV,54,True,True,0.7998686019862491
mol-pebchem10m-HIV,62,True,False,0.7791023853585035
mol-roberta-HIV,61,True,False,0.7969497259558112
mol-pebchem10m-HIV,62,False,True,0.7681651503846041
mol-roberta-HIV,61,False,True,0.7883498816561696
mol-pebchem10m-HIV,63,True,True,0.8229362874602724
mol-roberta-HIV,62,True,True,0.7916878687547015
mol-chemberta-HIV,54,True,False,0.7926249045072575
mol-pebchem10m-HIV,63,True,False,0.8208339510718674
mol-roberta-HIV,62,True,False,0.7958111519560305
mol-chemberta-HIV,54,False,True,0.7959396485867074
mol-pebchem10m-HIV,63,False,True,0.8137167930093872
mol-pebchem10m-HIV,64,True,True,0.8015001676164935
mol-roberta-HIV,62,False,True,0.7894284677678821
mol-chemberta-HIV,55,True,True,0.8005565698139501
mol-pebchem10m-HIV,64,True,False,0.810364122182564
mol-roberta-HIV,63,True,True,0.7888824887126006
mol-pebchem10m-HIV,64,False,True,0.7952079759158106
mol-roberta-HIV,63,True,False,0.8377628224291342
mol-chemberta-HIV,55,True,False,0.7734304440946507
mol-pebchem10m-HIV,65,True,True,0.7800162483386593
mol-roberta-HIV,63,False,True,0.8069066813789706
mol-roberta-HIV,64,True,True,0.803087594407525
mol-pebchem10m-HIV,65,True,False,0.7911754916938523
mol-chemberta-HIV,55,False,True,0.7920814195030063
mol-pebchem10m-HIV,65,False,True,0.7618914192908993
mol-roberta-HIV,64,True,False,0.7922155285178101
mol-roberta-HIV,64,False,True,0.8033291593539863
mol-pebchem10m-HIV,66,True,True,0.8097599180207875
mol-chemberta-HIV,56,True,True,0.7752245989304813
mol-pebchem10m-HIV,66,True,False,0.7986897965158835
mol-roberta-HIV,65,True,True,0.7792219921856759
mol-pebchem10m-HIV,66,False,True,0.8100182989313425
mol-chemberta-HIV,56,True,False,0.761564553093965
mol-pebchem10m-HIV,67,True,True,0.7863095740643129
mol-roberta-HIV,65,True,False,0.8102317093148493
mol-chemberta-HIV,56,False,True,0.7636928953399542
