name,seed,use_fuse,use_model,acc
mol-roberta-SIDER,42,True,True,0.6016320947076387
mol-pebchem10m-SIDER,42,True,True,0.5883824196588625
mol-roberta-SIDER,42,True,False,0.6119655922277063
mol-roberta-SIDER,42,False,True,0.5971197742630855
mol-pebchem10m-SIDER,42,True,False,0.615930009309315
mol-pebchem10m-SIDER,42,False,True,0.595858849304523
mol-chemberta-SIDER,42,True,True,0.5917297392395522
mol-roberta-SIDER,43,True,True,0.6017345402075474
mol-pebchem10m-SIDER,43,True,True,0.6125331362233689
mol-chemberta-SIDER,42,True,False,0.6077162581073781
mol-roberta-SIDER,43,True,False,0.6182530066584018
mol-chemberta-SIDER,42,False,True,0.6007174441884577
mol-roberta-SIDER,43,False,True,0.5984104311485471
mol-chemberta-SIDER,43,True,True,0.6076397770947197
mol-pebchem10m-SIDER,43,True,False,0.6551347477112881
mol-roberta-SIDER,44,True,True,0.5800944652839597
mol-pebchem10m-SIDER,43,False,True,0.5873248141546744
mol-roberta-SIDER,44,True,False,0.6265499802005072
mol-pebchem10m-SIDER,44,True,True,0.5877587362079496
mol-chemberta-SIDER,43,True,False,0.6400028926380301
mol-roberta-SIDER,44,False,True,0.5833646552499695
mol-chemberta-SIDER,43,False,True,0.5986936332624762
mol-roberta-SIDER,45,True,True,0.6057123635718559
mol-pebchem10m-SIDER,44,True,False,0.6234486860920747
mol-roberta-SIDER,45,True,False,0.6047655820594869
mol-chemberta-SIDER,44,True,True,0.5753651994025961
mol-pebchem10m-SIDER,44,False,True,0.5907573348451917
mol-roberta-SIDER,45,False,True,0.576587093478301
mol-pebchem10m-SIDER,45,True,True,0.5822788092521523
mol-chemberta-SIDER,44,True,False,0.6189786444343299
mol-pebchem10m-SIDER,45,True,False,0.6009685804493465
mol-roberta-SIDER,46,True,True,0.6005536289703851
mol-chemberta-SIDER,44,False,True,0.5869569961805045
mol-pebchem10m-SIDER,45,False,True,0.58398128320733
mol-chemberta-SIDER,45,True,True,0.5954374182691329
mol-pebchem10m-SIDER,46,True,True,0.5744640785637564
mol-roberta-SIDER,46,True,False,0.6433919288015957
mol-chemberta-SIDER,45,True,False,0.5934550963709314
mol-roberta-SIDER,46,False,True,0.5895002608562222
mol-pebchem10m-SIDER,46,True,False,0.5981719195949056
mol-roberta-SIDER,47,True,True,0.586648629521283
mol-chemberta-SIDER,45,False,True,0.5624564384778017
