name,pretrained_method,protein_emd,mol_emd,auc
rrf-ESM3-pebchem10m,1,ESM3,pebchem10m,0.6739851236343384
rrf-ESM3-chemberta,1,ESM3,chemberta,0.6698609590530396
rrf-ESM3-pebchem10m,1,ESM3,pebchem10m,0.7700221538543701
rrf-ESM3-roberta,1,ESM3,roberta,0.7508454918861389
rrf-ESM3-pebchem10m,1,ESM3,pebchem10m,0.8128520846366882
rrf-ESM3-pebchem10m,2,ESM3,pebchem10m,0.8388493657112122
rrf-ESM3-pebchem10m,1,ESM3,pebchem10m,0.7833724617958069
rrf-ESM3-pebchem10m,2,ESM3,pebchem10m,0.8513460755348206
rrf-ESM3-pebchem10m,1,ESM3,pebchem10m,0.7581209540367126
rrf-ESM3-pebchem10m,2,ESM3,pebchem10m,0.8287557363510132
rrf-ESM3-pebchem10m,1,ESM3,pebchem10m,0.8041014075279236
rrf-ESM3-pebchem10m,2,ESM3,pebchem10m,0.8286525011062622
rrf-ESM3-pebchem10m,1,ESM3,pebchem10m,0.7884513735771179
rrf-ESM3-pebchem10m,2,ESM3,pebchem10m,0.8209514617919922
rrf-ESM3-pebchem10m,1,ESM3,pebchem10m,0.7612080574035645
rrf-ESM2-roberta,1,ESM2,roberta,0.7661435604095459
rrf-ESM3-pebchem10m,2,ESM3,pebchem10m,0.8251945972442627
rrf-ESM2-roberta,2,ESM2,roberta,0.7974486351013184
rrf-ESM2-pebchem10m,1,ESM2,pebchem10m,0.7502427101135254
rrf-ProtBert-BFD-pebchem10m,1,ProtBert-BFD,pebchem10m,0.8202255368232727
rrf-ProtBert-BFD-pebchem10m,2,ProtBert-BFD,pebchem10m,0.8372824788093567
rrf-ESM2-pebchem10m,2,ESM2,pebchem10m,0.8231713771820068
rrf-ESM2-roberta,1,ESM2,roberta,0.7196618318557739
rrf-ESM-1B-pebchem10m,1,ESM-1B,pebchem10m,0.7384042143821716
rrf-ProtBertT5-xl-chemberta,1,ProtBertT5-xl,chemberta,0.814457356929779
rrf-ProtBert-BFD-pebchem10m,1,ProtBert-BFD,pebchem10m,0.8181884288787842
rrf-ESM2-pebchem10m,1,ESM2,pebchem10m,0.7593561410903931
rrf-ESM2-roberta,2,ESM2,roberta,0.8170142769813538
rrf-ESM-1B-pebchem10m,2,ESM-1B,pebchem10m,0.8319443464279175
rrf-ProtBertT5-xl-chemberta,2,ProtBertT5-xl,chemberta,0.8569733500480652
rrf-ESM2-chemberta,1,ESM2,chemberta,0.7422465682029724
rrf-ESM2-pebchem10m,2,ESM2,pebchem10m,0.8230803608894348
rrf-ProtBert-BFD-pebchem10m,2,ProtBert-BFD,pebchem10m,0.8360176086425781
rrf-ESM2-roberta,1,ESM2,roberta,0.7606645822525024
rrf-ESM-1B-pebchem10m,1,ESM-1B,pebchem10m,0.7362094521522522
rrf-ProtBertT5-xl-chemberta,1,ProtBertT5-xl,chemberta,0.8001401424407959
rrf-ESM2-chemberta,2,ESM2,chemberta,0.8139285445213318
rrf-ProtBertT5-xl-roberta,1,ProtBertT5-xl,roberta,0.8170439004898071
rrf-ProtBert-BFD-pebchem10m,1,ProtBert-BFD,pebchem10m,0.8317249417304993
rrf-ESM2-pebchem10m,1,ESM2,pebchem10m,0.7246273756027222
rrf-ESM2-roberta,2,ESM2,roberta,0.8136027455329895
rrf-ProtBertT5-xl-chemberta,2,ProtBertT5-xl,chemberta,0.8644228577613831
rrf-ESM-1B-pebchem10m,2,ESM-1B,pebchem10m,0.836435854434967
rrf-ProtBertT5-xl-roberta,2,ProtBertT5-xl,roberta,0.8688480854034424
rrf-ESM2-chemberta,1,ESM2,chemberta,0.7339131236076355
rrf-ProtBert-BFD-pebchem10m,2,ProtBert-BFD,pebchem10m,0.8406967520713806
rrf-ESM2-pebchem10m,2,ESM2,pebchem10m,0.8103516697883606
rrf-ProtBertT5-xl-chemberta,1,ProtBertT5-xl,chemberta,0.8281934261322021
rrf-ESM-1B-pebchem10m,1,ESM-1B,pebchem10m,0.7291725873947144
rrf-ESM2-roberta,1,ESM2,roberta,0.7363273501396179
rrf-ProtBertT5-xl-roberta,1,ProtBertT5-xl,roberta,0.8142648339271545
